season,station_i,station_j,distance_km,n_pair_days,chi_0_95,f_madogram,theta_fmadogram
W,6344,6348,32.82436246226163,3065,0.7034731934731935,0.031045759820281942,1.1324042184089613
W,6344,6350,55.36018507634936,3069,0.6056638397063929,0.04295770061301239,1.1879812904434879
W,6344,6356,49.25295699669596,3067,0.6666958041958042,0.03654010620296635,1.1576840054210542
W,6344,6370,85.63873195901121,3069,0.6597540390643839,0.04281637033952002,1.1873049145321188
W,6344,6375,92.89107456787457,3068,0.6535451303663224,0.042730610635313936,1.1868946910908789
W,6344,6380,148.5867817852313,3069,0.5882986876137561,0.05179494878481251,1.23112166471299
W,6344,6391,131.02422221321183,3069,0.5953568490333196,0.051421318603367586,1.229263318726023
W,6348,6350,44.94980540861478,3065,0.6122695035460993,0.040833218503740346,1.1778578945570912
W,6348,6356,19.496500443473575,3063,0.7275,0.027613848167955753,1.1169121832249385
W,6348,6370,65.59666448229652,3065,0.6849425287356321,0.03819966496952117,1.1654380132357418
W,6348,6375,63.83120811986752,3064,0.691037527593819,0.037050298739638096,1.1600618755720984
W,6348,6380,131.73148821437658,3065,0.6149771689497717,0.05090802926102446,1.2267153838322065
W,6348,6391,102.01433134034501,3065,0.6238725490196079,0.04580685319177772,1.2017064921110274
W,6350,6356,35.62809713159677,3067,0.6324468085106383,0.03956926906524826,1.1718793573353194
W,6350,6370,33.14298112525104,3069,0.7064318904377598,0.0364173510938373,1.1571126580331041
W,6350,6375,54.27267796023597,3068,0.6514489690479546,0.04137003386202228,1.1804070249067686
W,6350,6380,93.23481288185613,3069,0.6203973574273778,0.05130296100702599,1.2286752822000653
W,6350,6391,87.53785926398716,3069,0.628363579474343,0.04783410266737128,1.2115776662926123
W,6356,6370,48.109214508178646,3067,0.6548850574712644,0.03629386487054629,1.1565382129801414
W,6356,6375,44.53817209508827,3066,0.6580573951434878,0.034634845639486225,1.148850189211438
W,6356,6380,114.23026956751664,3067,0.6300799086757991,0.050855255956085095,1.2264537507361446
W,6356,6391,82.8073648703466,3067,0.6745098039215687,0.04347741013798877,1.1904721085155077
W,6370,6375,32.54978547440632,3068,0.7705868919844714,0.02995453198940594,1.1274537636377373
W,6370,6380,66.21697753329887,3069,0.673547472838923,0.04332721686535458,1.1897516929647194
W,6370,6391,56.98351948846195,3069,0.7053498985801216,0.038887626250366646,1.1686687604331398
W,6375,6380,83.85118474132057,3068,0.6803274970516193,0.04541594351639978,1.199813182484715
W,6375,6391,38.2855117722607,3068,0.6847974289053369,0.03626704121531681,1.1564134725742279
W,6380,6391,72.43576437811697,3069,0.6675060435132958,0.04870446272925185,1.2158428732701265
S,6225,6235,53.872032029446856,3116,0.6517135221083257,0.05822153167116926,1.2635779506928482
S,6225,6240,22.66335682685925,3116,0.6117494740249232,0.06160729238536461,1.281059841166518
S,6225,6260,58.63379435758536,3116,0.5410227931234306,0.06996006823667127,1.3253654512956885
S,6225,6267,73.83899598342074,3106,0.5870024656569215,0.06069446810205475,1.2763200720001615
S,6225,6269,64.60022808509045,3115,0.5175568862275449,0.06862727665793715,1.3181808813790863
S,6225,6270,116.69493516452644,3114,0.5170321608438752,0.07533515934118871,1.3547981943799077
S,6225,6273,93.89111005520489,3112,0.4625748502994012,0.076770813994441,1.3627860106671972
S,6225,6275,100.4501821885915,3116,0.4542612887432682,0.08231438649025757,1.3941451839750167
S,6225,6277,152.59862477771836,3116,0.45243971516426607,0.08333316911453098,1.399999054100071
