i,j,station_i,station_j,name_i,name_j,dist_km
10,32,06278,06391,HEINO AWS,ARCEN AWS,104.30079539391008
5,12,06269,06280,LELYSTAD AP,GRONINGEN AP EELDE,104.30733758771056
7,26,06273,06348,MARKNESSE AWS,CABAUW TOWER AWS,104.43631870631778
10,26,06278,06348,HEINO AWS,CABAUW TOWER AWS,104.54192781133717
2,29,06240,06370,AMSTERDAM/SCHIPHOL AP,EINDHOVEN AP,104.54205332466621
2,20,06240,06316,AMSTERDAM/SCHIPHOL AP,OOSTERSCHELDE 4,105.06773718987931
3,22,06260,06320,DE BILT AWS,LICHTEILAND GOEREE,105.09879944712051
19,28,06312,06356,OOSTERSCHELDE WP,HERWIJNEN AWS,105.22706785515732
23,29,06330,06370,HOEK VAN HOLLAND AWS,EINDHOVEN AP,105.35569371338286
5,27,06269,06350,LELYSTAD AP,GILZE RIJEN,105.75402644413506
16,30,06290,06375,TWENTHE AWS,VOLKEL,106.06328011908187
13,28,06283,06356,HUPSEL AWS,HERWIJNEN AWS,106.15215154085917
7,28,06273,06356,MARKNESSE AWS,HERWIJNEN AWS,106.57750672272334
1,26,06235,06348,DE KOOY VK,CABAUW TOWER AWS,106.94203741484614
5,23,06269,06330,LELYSTAD AP,HOEK VAN HOLLAND AWS,107.25543939785085
0,20,06225,06316,IJMUIDEN WP,OOSTERSCHELDE 4,107.26518694358148
4,26,06267,06348,STAVOREN AWS,CABAUW TOWER AWS,107.6957070732499
21,29,06319,06370,WESTDORPE AWS,EINDHOVEN AP,108.22814100627974
8,24,06275,06343,DEELEN,ROTTERDAM GEULHAVEN,108.35899642807586
9,10,06277,06278,LAUWERSOOG AWS,HEINO AWS,108.74461250984211
1,9,06235,06277,DE KOOY VK,LAUWERSOOG AWS,108.81347857915648
18,26,06310,06348,VLISSINGEN AWS,CABAUW TOWER AWS,108.82627505603551
17,27,06308,06350,CADZAND WP,GILZE RIJEN,109.72242256280386
1,25,06235,06344,DE KOOY VK,ROTTERDAM THE HAGUE AP,109.8091081242824
21,26,06319,06348,WESTDORPE AWS,CABAUW TOWER AWS,110.73048674220318
5,29,06269,06370,LELYSTAD AP,EINDHOVEN AP,111.4028441852649
13,29,06283,06370,HUPSEL AWS,EINDHOVEN AP,111.72301305866041
3,19,06260,06312,DE BILT AWS,OOSTERSCHELDE WP,113.02230912489945
1,23,06235,06330,DE KOOY VK,HOEK VAN HOLLAND AWS,113.24088273546187
3,20,06260,06316,DE BILT AWS,OOSTERSCHELDE 4,113.26837583611719
21,28,06319,06356,WESTDORPE AWS,HERWIJNEN AWS,113.32621476187491
1,10,06235,06278,DE KOOY VK,HEINO AWS,113.67934556886517
28,31,06356,06380,HERWIJNEN AWS,MAASTRICHT AACHEN AP,114.23026956751637
23,30,06330,06375,HOEK VAN HOLLAND AWS,VOLKEL,115.03136637897612
0,10,06225,06278,IJMUIDEN WP,HEINO AWS,115.5134383471734
5,32,06269,06391,LELYSTAD AP,ARCEN AWS,115.78178507775715
18,28,06310,06356,VLISSINGEN AWS,HERWIJNEN AWS,116.49791314508434
4,28,06267,06356,STAVOREN AWS,HERWIJNEN AWS,116.64457749801012
7,30,06273,06375,MARKNESSE AWS,VOLKEL,116.66284607670525
0,6,06225,06270,IJMUIDEN WP,LEEUWARDEN,116.69493516452651
5,9,06269,06277,LELYSTAD AP,LAUWERSOOG AWS,116.71026875138303
12,13,06280,06283,GRONINGEN AP EELDE,HUPSEL AWS,117.5004305149231
3,16,06260,06290,DE BILT AWS,TWENTHE AWS,118.24639364668633
20,29,06316,06370,OOSTERSCHELDE 4,EINDHOVEN AP,118.59571909196754
13,26,06283,06348,HUPSEL AWS,CABAUW TOWER AWS,118.94936122897523
3,11,06260,06279,DE BILT AWS,HOOGEVEEN AWS,118.95521741499257
0,30,06225,06375,IJMUIDEN WP,VOLKEL,119.09400944471257
1,24,06235,06343,DE KOOY VK,ROTTERDAM GEULHAVEN,119.39489835689278
2,6,06240,06270,AMSTERDAM/SCHIPHOL AP,LEEUWARDEN,119.7275887154305
8,23,06275,06330,DEELEN,HOEK VAN HOLLAND AWS,119.98100968012243
1,28,06235,06356,DE KOOY VK,HERWIJNEN AWS,121.41986473735719
1,8,06235,06275,DE KOOY VK,DEELEN,121.91184619472288
4,25,06267,06344,STAVOREN AWS,ROTTERDAM THE HAGUE AP,121.92174734926056
1,11,06235,06279,DE KOOY VK,HOOGEVEEN AWS,121.9814410301453
1,12,06235,06280,DE KOOY VK,GRONINGEN AP EELDE,122.58771101310354
4,15,06267,06286,STAVOREN AWS,NIEUW BEERTA AWS,122.59715494318534
4,16,06267,06290,STAVOREN AWS,TWENTHE AWS,123.20756085348293
18,29,06310,06370,VLISSINGEN AWS,EINDHOVEN AP,123.43639960959302
10,29,06278,06370,HEINO AWS,EINDHOVEN AP,125.07419065155102
17,26,06308,06348,CADZAND WP,CABAUW TOWER AWS,125.15871740796445
